aircraft,no_rotors,no_nontilting_rotors,no_blades,max_thrust_requirement,rotor_radius,max_thrust_power,hover_power,f_flight_power,motor_rpm_hover,motor_power,motor_power_spec,motor_torque,max_forward_velocity,total_energy,flight_energy,ground_energy,sampling_energy,sleep_energy,design_mass,contingency_mass,motor_mass,battery_mass,solar_panel_mass,rotor_mass,structure_mass,ground_mobility_mass,flight_elec_mass,total_empty_mass,payload
Coaxial - Ingenuity-like,2,2,4,111.3,1.1312903494828983,2892.241219600279,2533.546570902263,4543.526768603065,1574.0900009273157,2892.241219600279,3800.3198563533942,17.545927606769858,66.52262134828328,912703.4104388617,592262.1166980024,30000,13500,124824.05866771564,20,16.0,0.8929049669128523,1.6575921877862438,1.3414218260418307,2.1117419857014106,1.0,2.65,14.208585647407594,1.7914143525924064
Coaxial - Ingenuity-like,2,2,4,139.125,1.2648210618666271,3615.301524500348,3166.933213627828,5679.40846075383,1407.908897910474,3615.301524500348,4750.399820441742,24.521179285642244,66.52262134828325,1099743.344333585,738490.1458725032,30000,13500,134462.64107215084,25,20.0,1.1907460665989802,1.9972818719508645,1.6163188482269033,2.360999315484371,1.25,2.65,17.03768012011008,2.9623198798899217
Coaxial - Ingenuity-like,2,2,4,166.95,1.385542053583978,4338.361829400419,3800.319856353394,6815.2901529045985,1285.2391038296746,4338.361829400419,5700.479784530091,32.23392727529923,66.52262134828328,1285327.2633807007,884718.1750470038,30000,13500,142887.87777024676,30,24.0,1.5064785868700448,2.334327237261089,1.889075930894622,2.5863451666900925,1.5,2.65,19.879881755025757,4.120118244974243
Coaxial - Ingenuity-like,2,2,4,194.775,1.4965564626695484,5061.422134300487,4433.7064990789595,7951.1718450553635,1189.900195339174,5061.422134300487,6650.55974861844,40.619390848273774,66.52262134828328,1469841.6886943753,1030946.2042215045,30000,13500,150421.869690475,35,28.0,1.8379103421650547,2.669430258062503,2.1602611532839147,2.7935720636498242,1.75,2.65,22.734268420178136,5.265731579821864
Coaxial - Ingenuity-like,2,2,4,222.6,1.5998861552205133,5784.482439200558,5067.093141804526,9087.053537206131,1113.0497138536439,5784.482439200558,7600.6397127067885,49.627377571820865,66.52262134828328,1653531.230933727,1177174.233396005,30000,13500,157268.45904876755,40,32.0,2.1834031533979137,3.0030351802217994,2.4302340254757895,2.986454156411625,2.0,2.65,25.600005692428834,6.399994307571166
Coaxial - Ingenuity-like,2,2,4,250.425,1.6969355242243473,6507.542744100629,5700.479784530093,10222.935229356897,1049.3933339515438,6507.542744100629,8550.71967679514,59.217505672848276,66.52262134828328,1836561.6616107929,1323402.2625705062,30000,13500,163565.7887718211,45,36.0,2.541678920820101,3.335443067107611,2.6992381857889374,3.1676129785521154,2.25,2.65,28.47636017371665,7.52363982628335
Coaxial - Ingenuity-like,2,2,4,278.25,1.7887270996669236,7230.603049000696,6333.866427255656,11358.81692150766,995.541929005375,7230.603049000696,9500.799640883484,69.35636862227493,66.52262134828325,2019051.1243875218,1469630.2917450063,30000,13500,169412.31191126176,50,40.0,2.911708203054631,3.666868483504998,2.967447272762378,3.338957252711591,2.5,2.65,31.36269062598867,8.63730937401133
Quadcopter,4,4,4,111.3,0.7999430776102566,3083.610534145589,2724.9158854475722,5349.863837212008,2226.0994277072878,3083.610534145589,4087.3738281713586,13.227761158493294,66.52262134828328,976835.9196890788,645705.8744065168,30000,13500,124824.05866771564,20,16.0,0.7003124523827694,1.7740654529241198,1.4356788943108154,2.986454156411625,1.0,2.65,14.226723466284371,1.773276533715629
Quadcopter,4,4,4,139.125,0.8943635498334618,3854.513167681985,3406.144856809465,6687.329796515009,1991.08385801075,3854.513167681985,5109.217285214198,18.486358212826477,66.52262134828325,1179908.980896356,805294.8430081459,30000,13500,134462.64107215084,25,20.0,0.9339115907801379,2.1428734533732086,1.7341401835631336,3.338957252711591,1.25,2.65,17.044258561049812,2.955741438950188
